fixed,fixed-strong,fixed-one_weak,strong-fixed,strong-strong,strong-one_weak,one_weak-fixed,one_weak-strong,one_weak-one_weak
60.62904791394461,0,58.699025026868654,59.76749313755668,0,57.83747025048072,0,0,0
59.5616875021093,0,57.878134340997434,57.758063082422105,0,56.07450992131024,59.23585157176263,0,57.552298410650764
63.0659931185327,62.96016010116773,64.18049094166427,0,0,0,63.779286173602294,63.67345315623732,64.89378399673387
0,0,0,0,0,0,0,0,0
62.8959297572218,60.220967941653804,60.220967941653804,61.66512242482279,58.990160609254794,58.990160609254794,62.53488649673772,59.85992468116972,59.85992468116972
60.303766171113026,61.092232728444,60.763074337569954,62.773820289502396,63.56228684683337,63.233128455959324,62.773820289502396,63.56228684683337,63.233128455959324
60.36977296279499,60.92858862397884,60.92858862397884,59.817428845937236,60.376244507121086,60.376244507121086,60.25503742009586,60.81385308127971,60.81385308127971
58.494872424069456,0,58.029036546006225,59.724520346077824,0,59.25868446801459,61.27090916890532,0,60.80507329084209
62.72214591928693,61.90735143039596,61.90735143039596,60.39357981970598,59.57878533081501,59.57878533081501,60.39357981970598,59.57878533081501,59.57878533081501
60.92620624716042,57.61806330133989,60.56291211808004,61.09885239257096,57.79070944675043,60.73555826349058,60.0026032330249,56.694460287204365,59.63930910394452
60.7629996151847,59.91716349487875,59.91716349487875,57.96991889069196,57.12408277038601,57.12408277038601,57.78032075440707,56.934484634101125,56.934484634101125
57.57438556309588,56.71443091554169,57.82006477833281,59.78281596698876,58.92286131943457,60.02849518222568,59.13734792293335,58.27739327537916,59.38302713817028
60.04309103053363,0,0,59.58918325812991,0,0,58.590899981403936,0,0
61.01311885381835,61.829495805826724,61.829495805826724,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
61.03064521395149,0,0,0,0,0,0,0,0
60.0542267890662,0,0,0,0,0,61.24508825552872,0,0
60.489455813164724,61.870508901134805,0,60.96261146301556,62.34366455098564,0,60.75540291705961,62.13645600502969,0
58.21303241284545,57.10087414168832,57.10087414168832,56.99598742774364,55.883829156586515,55.883829156586515,56.182042531646744,55.069884260489616,55.069884260489616
61.387968519339104,60.865120985156324,0,0,0,0,0,0,0
60.027208228034496,0,0,63.424949288271236,0,0,0,0,0
59.09489775601796,61.763768495020074,60.408267908158855,59.04315317287195,61.71202391187407,60.35652332501285,59.04315317287195,61.71202391187407,60.35652332501285
0,0,0,0,0,0,0,0,0
60.312387531554194,0,59.4251864467981,60.12556776432426,0,59.238366679568166,60.12556776432426,0,59.238366679568166
63.6706337214165,63.00271149459403,63.676071342172655,61.26139094744231,60.59346872061984,61.26682856819846,64.1197139568856,63.451791730063135,64.12515157764176
59.7828054846715,59.93230430279823,59.58993457166702,0,0,0,0,0,0
57.11267176026504,57.68643995202747,57.84075993483165,0,0,0,58.36752721287527,58.9412954046377,59.09561538744188
59.849407969831034,0,58.893921233732,60.56940843511181,0,59.61392169901278,60.56940843511181,0,59.61392169901278
61.249507333532094,61.09295205767603,59.13787176602525,60.362214916832755,60.20565964097669,58.25057934932591,60.362214916832755,60.20565964097669,58.25057934932591
61.06037402552482,0,61.49108773744721,61.34181354052133,0,61.772527252443716,61.34181354052133,0,61.772527252443716
0,0,0,0,0,0,0,0,0
60.593205006530276,58.78280799388345,56.820001037051966,59.24278575530075,57.43238874265393,55.46958178582244,59.24278575530075,57.43238874265393,55.46958178582244
65.26856383501685,0,62.20297401941926,63.198312047027734,0,60.13272223143014,0,0,0
63.76824485373389,62.14085058797169,63.38960033286844,0,0,0,64.31790201939424,62.69050775363204,63.93925749852879
61.00731250282356,60.32265788179005,59.661530455975075,59.770221531395116,59.08556691036161,58.42443948454663,60.87535367667973,60.19069905564622,59.529571629831246
60.01568807072604,60.2454704213525,59.740876547489755,59.86011976510928,60.08990211573574,59.585308241872994,59.86011976510928,60.08990211573574,59.585308241872994
56.61612719874468,0,57.91168617964892,0,0,0,57.87046313746771,0,59.16602211837195
57.13235098354144,59.638885883052595,58.72722959217331,59.28719411212903,61.79372901164018,60.882072720760895,59.99468028393102,62.50121518344217,61.589558892562884
64.14227088425731,62.37252680311383,62.37252680311383,62.887959203356004,61.11821512221251,61.11821512221251,62.887959203356004,61.11821512221251,61.11821512221251
60.33278776857412,59.343472483356045,59.343472483356045,0,0,0,58.64763933978064,57.65832405456256,57.65832405456256
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
61.787758239071806,0,62.2456189052368,60.47761131860007,0,60.935471984765066,60.47761131860007,0,60.935471984765066
59.6584621982771,57.67927150489935,57.67927150489935,59.19671040089829,57.21751970752054,57.21751970752054,0,0,0
59.1439673385526,56.92762604508242,56.92762604508242,0,0,0,57.08729246630776,54.87095117283758,54.87095117283758
63.132799040436204,64.1279994726534,64.1279994726534,62.272387173713696,63.26758760593089,63.26758760593089,62.272387173713696,63.26758760593089,63.26758760593089
63.36103858518934,62.66398859862223,63.402412863114854,63.31314934097711,62.616099354410004,63.354523618902626,63.31314934097711,62.616099354410004,63.354523618902626
60.176007225724646,59.09957853196373,60.830952775606356,0,0,0,58.25156742718277,57.17513873342185,58.90651297706448
60.37781782596734,0,60.312777389647856,59.62624417666751,0,59.56120374034803,58.69088453739104,0,58.62584410107156
59.15939216214751,0,58.49270562606994,56.542941406460635,0,55.876254870383065,59.73945278129164,0,59.07276624521407
59.676369694679664,59.32740231029913,59.32740231029913,60.66883117467948,60.319863790298946,60.319863790298946,60.31015485452765,59.96118747014712,59.96118747014712
58.132396216553644,58.66614278583566,56.83103730459056,54.791916212852946,55.32566278213497,53.49055730088986,54.791916212852946,55.32566278213497,53.49055730088986
0,0,0,0,0,0,0,0,0
56.99540025158561,55.94596544137944,0,55.08567835599533,54.03624354578916,0,55.08567835599533,54.03624354578916,0
61.6577103870221,61.375250869434495,0,0,0,0,0,0,0
61.685978107415394,62.13056641243428,60.25473104321388,62.637410613114085,63.08199891813297,61.20616354891257,63.693598097454554,64.13818640247344,62.26235103325305
60.191907179280946,60.38271302235805,59.16673745978392,60.30626631592186,60.49707215899896,59.28109659642483,60.30626631592186,60.49707215899896,59.28109659642483
