fixed_count,version3_1,version3_2,version3_3,version4_1,version4_2,version4_3,is_equal
4808,9616,9616,14133,6289,6289,7479,True
1225,2405,3748,7419,1566,2909,3835,True
2502,6913,10349,18356,3808,6179,8324,True
1179,2900,3448,5135,1902,2262,2747,True
0,0,0,0,0,0,0,True
870,2835,3829,5397,1592,2022,2367,True
4062,10829,14927,24205,7251,10409,10690,True
3047,7399,9842,15655,4479,5989,6165,True
1590,10567,15802,20724,6860,9451,10860,True
2054,4108,4108,6162,2054,2054,2054,True
1422,4816,8122,14780,2844,5164,5698,True
0,0,0,0,0,0,0,True
2064,8104,11053,15000,5254,6776,7928,True
1487,6714,10657,16290,4422,7086,8874,True
1187,5280,9088,15553,3072,5526,5913,True
2333,4856,6578,12415,2952,4674,6007,True
3369,6123,8877,18984,4078,6832,10804,True
2651,9863,15293,23396,6333,10270,10046,True
4362,9272,10936,17702,5879,7112,9288,True
2800,10137,14015,19926,6459,8614,7648,True
837,3022,3696,4533,1511,1511,1511,True
1050,2100,2553,4509,1307,1760,2239,True
4577,9216,10768,16763,5873,7425,7835,True
3161,8672,9758,12680,5760,6057,6856,True
3594,5903,7653,16027,3594,5344,7909,True
2212,4260,5821,11139,2767,4328,5875,True
2618,6028,7946,12981,3662,5035,4980,True
4813,10097,10097,13890,6304,6304,6304,True
5104,17446,24314,35916,11931,16513,17028,True
1711,3362,4036,6749,2263,2937,3653,True
3160,14826,21433,29682,9703,13370,13346,True
1199,4542,6799,10341,2845,4290,5063,True
1560,6380,9373,13184,3423,4808,5738,True
1706,5994,9291,14916,3834,6200,5646,True
4383,9027,10221,16707,5782,6976,8551,True
1470,3821,4685,6602,2450,2940,2450,True
0,9453,13182,13182,5724,5724,5724,True
2724,8816,13570,22449,5593,8998,11317,True
2796,8573,11161,15317,4819,5831,6130,True
3162,10173,14577,22575,6374,9138,11673,True
1130,3319,6254,12051,2129,4684,6163,True
1490,6191,9497,14401,3886,5959,4778,True
2092,9649,13901,19179,6301,8693,8013,True
1896,5858,7958,11988,2929,3996,3996,True
2025,5869,7857,11859,3636,4836,4301,True
1014,4409,5894,7556,2862,3525,3739,True
1503,3240,6191,11770,2119,5070,5722,True
603,1914,2996,5052,1229,2044,2616,True
1605,3249,4892,9935,2015,3658,5001,True
0,0,0,0,0,0,0,True
1438,5492,8235,12547,3495,5251,6535,True
3070,8182,10224,15336,4091,5112,4091,True
2695,6616,7678,11461,4248,4934,5154,True
5221,20858,29198,40692,13935,18826,22696,True
2745,6542,9881,17983,4203,6955,7112,True
774,1368,2235,5273,811,1678,2533,True
1439,7890,12279,17719,5005,7505,7811,True
3143,10288,14657,22571,6853,9885,12603,True
2289,9051,11488,13706,6072,6950,7748,True
4081,18996,28644,41177,12735,18804,16005,True
4593,14210,18995,28020,9266,12259,14954,True
1268,5306,7524,10526,3491,4802,4967,True
4959,17942,24689,35118,11846,15866,19208,True
971,2215,4002,9173,1300,2856,4447,True
1740,5242,7004,10506,2621,3502,2621,True
3927,12432,16055,22587,8143,10187,11929,True
0,0,0,0,0,0,0,True
2185,6414,8458,12687,4359,5748,5511,True
92,184,184,280,104,104,120,True
2680,11662,17894,26808,7747,11812,12854,True
1669,4377,5465,8173,2819,3511,3400,True
864,1734,1734,2506,1182,1182,1402,True
2346,11707,16662,21751,7138,9400,10695,True
3593,12706,17162,24037,7822,10100,10580,True
3062,7689,10504,17487,4936,7142,9067,True
2659,10282,15454,23475,6164,9420,10833,True
3437,9322,12988,20797,6258,9119,9342,True
3159,6638,6638,8959,4317,4317,4317,True
894,3872,5790,8768,2304,3263,2304,True
2556,6747,8721,12912,3964,4951,3964,True
5509,18092,23236,31906,12162,14985,14248,True
1557,6042,7406,8904,4006,4400,4832,True
2711,8769,12076,17423,5983,8287,9023,True
2059,9434,12152,14163,5885,6565,7065,True
2185,11679,16237,20322,7573,9473,10594,True
3717,12066,16387,24509,7635,10435,9383,True
1121,2770,3722,6193,1821,2610,3327,True
