fixed_count,version3_count,version4_count,is_equal
2169,13463,4785,True
2636,12979,7251,True
893,2578,1276,True
2328,10792,5170,True
1050,10936,5962,True
2007,6031,3267,True
2225,19497,4362,True
2612,19316,9788,True
2284,14465,7899,True
740,4126,1357,True
2660,15048,3838,True
771,5648,2800,True
2184,14973,4991,True
2517,13885,6799,True
1619,8935,4455,True
3244,18829,9663,True
1176,6870,2290,True
3430,31078,12183,True
0,0,0,True
1605,7584,4162,True
2135,19832,10622,True
913,3513,1631,True
2157,6009,3067,True
3541,27678,13438,True
4055,16312,8658,True
3186,24642,10476,True
2342,20803,7673,True
2509,15015,8429,True
3403,18606,7501,True
1734,15139,8253,True
0,0,0,True
1401,11991,5022,True
1344,9156,2826,True
1550,5889,2471,True
2421,20109,8029,True
0,0,0,True
1052,5238,1746,True
1124,7778,3580,True
2421,10509,3503,True
1185,6930,3786,True
3587,22099,8354,True
1480,22159,11739,True
1515,16833,6558,True
795,10626,4007,True
2404,19838,10490,True
701,6978,3398,True
918,3810,1498,True
1551,15039,7307,True
3477,21428,9096,True
1976,26129,10769,True
2026,13827,7663,True
1997,7217,2723,True
2291,11794,4683,True
3082,12197,4898,True
821,4439,2259,True
2683,21526,11042,True
1029,7265,3485,True
2467,27747,8702,True
1812,13611,6479,True
4392,29347,13232,True
1669,11716,4886,True
5180,37714,15098,True
2251,12663,6489,True
925,4863,1865,True
2207,16855,8687,True
