fixed_count,version3_count,version4_count,is_equal
2856,13452,6800,True
2729,20732,11140,True
0,0,0,True
2100,6300,2100,True
2740,17398,8206,True
1925,15228,7720,True
494,4197,1983,True
0,0,0,True
2856,19162,8664,True
777,2164,1140,True
0,0,0,True
1672,6192,2830,True
1486,6228,2076,True
0,0,0,True
4710,22136,9154,True
4869,16181,7779,True
0,0,0,True
1272,9089,4935,True
0,0,0,True
1536,10817,4879,True
1842,5900,2914,True
6252,38885,20031,True
2106,8955,2985,True
1503,10074,5812,True
1840,15642,7218,True
2022,17403,9441,True
0,0,0,True
1922,9769,5203,True
3026,8413,4333,True
3641,33508,13329,True
2471,10538,5012,True
1615,4622,2286,True
1039,8073,4185,True
1610,9297,3099,True
1604,8166,3450,True
1518,12408,6590,True
975,2840,1530,True
2677,19341,8125,True
0,0,0,True
2243,11227,6051,True
421,5445,1815,True
2084,10380,4909,True
0,0,0,True
1611,16994,9042,True
4062,22491,10010,True
886,6367,3083,True
4527,18325,9227,True
1196,10598,6010,True
3732,17084,6109,True
0,0,0,True
1346,10362,3439,True
2372,14667,6921,True
3282,12912,4223,True
1615,10101,4751,True
1696,12561,5621,True
1717,9329,3977,True
1130,15557,8469,True
3447,18459,4800,True
1936,9113,4365,True
1615,4803,2633,True
0,0,0,True
5249,19362,10262,True
1523,6912,3804,True
1735,8320,3988,True
832,5103,2685,True
1158,14843,7160,True
6055,28913,16523,True
2884,22529,12625,True
0,0,0,True
1114,18069,9067,True
0,0,0,True
1017,11808,3936,True
2422,20584,9295,True
1812,14250,5191,True
2401,10443,4303,True
2025,7859,3723,True
1777,9717,3239,True
4683,32618,16598,True
1697,5591,2303,True
1578,26671,15015,True
2847,18566,7404,True
471,3975,1325,True
2525,7389,4037,True
498,5944,2294,True
1427,9343,3969,True
930,7953,2651,True
0,0,0,True
2903,19549,9185,True
3593,17354,8578,True
0,0,0,True
4041,18836,8182,True
2279,9885,3843,True
2415,19521,7765,True
0,0,0,True
297,6545,3187,True
629,3484,1474,True
1704,14222,7636,True
3642,25447,11338,True
326,2934,978,True
0,0,0,True
2640,16292,8574,True
2703,14810,6340,True
2171,20118,10678,True
1470,9342,3114,True
1226,5357,2635,True
1221,9378,2949,True
0,0,0,True
3215,9710,4554,True
0,0,0,True
0,0,0,True
1405,13605,4496,True
1537,11333,6101,True
2975,14496,6338,True
1347,5333,2687,True
1847,7564,4148,True
0,0,0,True
500,7343,3767,True
1437,12207,6857,True
3491,9435,4713,True
3554,26516,14420,True
381,1786,762,True
4413,19014,7154,True
2958,24990,8539,True
1925,10450,4892,True
1958,13416,4472,True
2772,23595,7109,True
1055,6576,3242,True
2567,17265,5773,True
2328,10345,5551,True
2192,12461,6243,True
1193,12558,6666,True
754,10862,3058,True
4316,16344,6720,True
0,2094,1058,True
1996,9579,3193,True
2350,27622,9666,True
1682,14044,6942,True
3645,11365,4257,True
1302,10024,3644,True
1517,11966,6716,True
3684,10864,6278,True
778,7803,4441,True
1367,6310,2390,True
2730,26913,13487,True
6408,47564,22492,True
1543,12596,6310,True
669,12038,6278,True
1473,16595,8795,True
2221,18725,10267,True
2648,14417,7273,True
1766,5138,2676,True
0,0,0,True
1301,9069,4717,True
4101,31706,10816,True
1153,3179,1433,True
919,9177,4333,True
2033,16893,8189,True
2581,20644,8358,True
1579,13309,5605,True
1471,18390,8225,True
0,0,0,True
2452,17523,7478,True
0,0,0,True
1969,9065,4839,True
2642,14911,6893,True
2928,16749,7827,True
1655,20886,6794,True
3098,8687,4515,True
1316,20086,10584,True
771,9666,3222,True
212,7737,3987,True
1095,5964,3240,True
1243,41423,12322,True
2126,10206,2764,True
3787,17808,9622,True
3039,19973,10619,True
4016,27314,9197,True
4531,33492,13478,True
3252,18279,6148,True
3504,14932,8082,True
534,16992,8702,True
3087,23649,7883,True
2992,23313,11793,True
2653,19287,10191,True
0,3555,1907,True
853,2559,853,True
1953,13844,5701,True
2311,6203,3077,True
2403,11943,5141,True
2140,16576,8230,True
4523,28928,11924,True
1784,17896,6039,True
330,3356,1744,True
3225,10011,5783,True
2737,15127,7497,True
2303,17070,9040,True
927,17448,7216,True
2544,14070,4608,True
2677,19414,8705,True
1272,17803,8863,True
4013,17931,9103,True
2794,19537,9186,True
1308,15726,8334,True
4562,43376,23334,True
4256,22582,11270,True
2022,16523,8325,True
2466,8982,4256,True
1778,11534,3788,True
2081,16069,5967,True
4491,30783,12789,True
1095,4937,2247,True
279,2978,1490,True
1798,5394,1798,True
2240,12197,5209,True
717,7548,3970,True
2507,12255,5103,True
2919,8953,4389,True
4959,12189,5899,True
1951,15432,7812,True
613,4901,2417,True
1198,10653,5929,True
2484,15855,6630,True
1780,12682,6594,True
591,5473,2119,True
5379,27926,10824,True
4529,27164,11176,True
0,0,0,True
365,1103,531,True
7004,30040,14548,True
603,7079,1924,True
2184,11836,5878,True
4991,24410,10947,True
0,0,0,True
2156,18136,7738,True
1958,12839,4928,True
1591,8697,2245,True
5577,25465,10434,True
2556,14930,7564,True
0,0,0,True
3264,9246,4498,True
4596,29391,15807,True
2706,8728,4654,True
0,0,0,True
2880,30049,13672,True
0,0,0,True
4253,28192,13652,True
465,2787,697,True
1643,4929,2731,True
1283,10120,5108,True
1449,8241,2098,True
1470,10756,5378,True
694,5806,2078,True
4337,37581,18030,True
2115,13032,4344,True
3048,15804,7160,True
2473,19319,10677,True
1751,9743,3726,True
1644,12362,6544,True
787,7909,4133,True
1964,11679,6213,True
0,0,0,True
0,0,0,True
932,5952,1984,True
2036,11238,3274,True
6363,23186,11614,True
0,0,0,True
2678,17857,7373,True
0,0,0,True
697,8729,2432,True
2668,14917,7127,True
314,2823,1463,True
1240,7373,3857,True
1371,9318,3062,True
1431,7533,3677,True
3927,41773,19422,True
1246,6873,3349,True
1441,11871,3161,True
0,9963,4703,True
389,4161,1387,True
1526,24366,6061,True
1378,8409,4223,True
0,0,0,True
0,0,0,True
487,6713,3441,True
0,5211,2741,True
1839,11106,3291,True
0,0,0,True
1328,5345,2621,True
1219,7227,3301,True
1943,16018,8164,True
